"man_unit","count","p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p88","p89","p90","p91","p92","p93","p94","p95","p96","p97","p98","p99","p100"
"1 - Arrow TSA",1978,0.00568181818181818,0.032161580263628,0.0352560066280033,0.0375,0.0390255621475134,0.0410221365574441,0.0429114811568799,0.0454545454545455,0.0476190476190476,0.0497182712276165,0.0510204081632653,0.142857142857143,0.15,0.155683084684121,0.16305900621118,0.168100251921711,0.181561264822134,0.191780821917808,0.202833716915995,0.215672751859364,0.241325593484665,0.262885972461274,0.308052706552707,0.95
"10 - Kalum TSA",520,0.0045766590389016,0.0209232531500573,0.0328292682926829,0.0511865546218487,0.0581298701298701,0.0612200338650744,0.0622523041474654,0.0641025641025641,0.0673076923076923,0.0685545500251383,0.0695531400966184,0.238522841895632,0.247505589268604,0.25809705561614,0.2625378726107,0.27479971216119,0.28729028782515,0.295414064307194,0.300263157894737,0.309463414634146,0.350388175888913,0.447847985347985,0.492903456410622,0.813008130081301
"11 - Kamloops TSA",4710,0.000829875518672199,0.00730410047230571,0.0105329873980726,0.0135135135135135,0.0158730158730159,0.0182116788321168,0.0208333333333333,0.0224056244307727,0.0240963855421687,0.025998894722299,0.0279989821882952,0.20604815702385,0.217744248442608,0.228611481975968,0.240073076923077,0.25,0.257949265871648,0.274257800959648,0.296120332519411,0.3164329004329,0.341957219251336,0.388888314597061,0.477301707301707,1
"12 - Kispiox TSA",232,0.0159680638722555,0.0289569240475273,0.0308496110630942,0.0325563053408938,0.0382469219473625,0.0398571428571429,0.0433487511563367,0.0484952301579034,0.0499374036106323,0.0524418845994188,0.0538536953242836,0.229581352673487,0.242352857063714,0.254885057471264,0.258964320884781,0.272897332846182,0.289178170144462,0.300084761796647,0.317060713332127,0.346170246845468,0.385102251407129,0.447357639137597,0.543848405033655,0.673178061607814
"13 - Kootenay Lake TSA",993,0.00833333333333333,0.0207993197278912,0.0254012738853503,0.0310382811476484,0.0343573421233679,0.037037037037037,0.0388527908333047,0.04,0.0411324433142615,0.0438866396761134,0.0456899857088083,0.243759580475998,0.249856459330144,0.262521667731047,0.272295839753467,0.290822246399781,0.302613636363636,0.30779334555934,0.329211262353161,0.34711079943899,0.365221767851526,0.414296774193548,0.487542361013864,0.929221435793731
"14 - Lakes TSA",1480,0.00165837479270315,0.0431239454899416,0.0600035861574323,0.066837962962963,0.0711007025761124,0.0768784436851664,0.080259824442944,0.0838737679747734,0.087424924517727,0.0904326284627704,0.0930508948740468,0.243003255003036,0.247646133682831,0.252256384825192,0.262138275124733,0.270242243943902,0.276361409933623,0.285829397874852,0.29922131147541,0.330595275590551,0.351992844364937,0.374558813320066,0.449916387959866,1
"15 - Lillooet TSA",484,0.00518134715025907,0.0137646198830409,0.0219762956729083,0.0246890243902439,0.0307112970711297,0.0364646464646465,0.0389510489510489,0.04302561048243,0.0510627306273063,0.0526315789473684,0.0568049196516743,0.213371428571429,0.217413663663664,0.223383084577114,0.235432679738562,0.241346801346801,0.251280940337493,0.269079394501081,0.284768907563025,0.305872679705992,0.32072283669486,0.344626506024096,0.365039215686275,0.6
"16 - MacKenzie TSA",2973,0.00838574423480084,0.0349056111495738,0.0395063931013976,0.0434934166903476,0.0483536381314159,0.0506006589507477,0.0524741330869958,0.0537640660165041,0.0555555555555556,0.0570966212211026,0.0588235294117647,0.219636741048262,0.227272727272727,0.235294117647059,0.245127814972611,0.254082936368651,0.265178116940769,0.286099768237501,0.302247191011236,0.329108146841583,0.390620660276891,0.689700999438979,0.959687974992113,1
"17 - Robson Valley TSA",389,0.0131578947368421,0.025631225036655,0.0361069518716578,0.0386523553965414,0.0428701601972664,0.0442184557438795,0.0460341952390551,0.0487171235843802,0.0508489575521224,0.0522858701582106,0.0531033466017986,0.376705673148626,0.421376267143709,0.505230855070442,0.569239717490652,0.767317995710668,0.937985211475895,1,1,1,1,1,1,1
"18 - Merritt TSA",2398,0.00154559505409583,0.0113598059244127,0.0178409906676238,0.0227272727272727,0.025,0.0267272727272727,0.0277777777777778,0.0285214059047397,0.0290796524634514,0.0294117647058824,0.0298077298457935,0.145675178753831,0.151698179000387,0.157499587662873,0.16306134723336,0.171428571428571,0.179079698864361,0.195247055902384,0.207842797783934,0.217821855251626,0.236842105263158,0.269781657530652,0.332269736842105,1
"2 - Boundary TSA",2070,0.00694444444444444,0.0309829777031887,0.0363916083916084,0.0382189969023006,0.041980198019802,0.0440376250242429,0.046875,0.0495492320410738,0.0515818438168008,0.053163568247685,0.0555555555555556,0.145833333333333,0.151202853234317,0.157596196373286,0.161607008995502,0.166666666666667,0.173275058275058,0.183541062801932,0.197645549542825,0.209170871013803,0.227170087976539,0.250285451197053,0.292982965543941,1
"20 - Morice TSA",1918,0.0027027027027027,0.0320501093656791,0.0352722345405272,0.0365853658536585,0.0379268037226561,0.0396707527895647,0.0415289702621254,0.0429910475356396,0.0449438202247191,0.0467731320933165,0.0498049236670777,0.227843088106279,0.233164281705949,0.243380924630925,0.257974637681159,0.267089108910891,0.279304298642534,0.291559408730331,0.304870073355713,0.323982065229761,0.357384515289525,0.4,0.484649730029071,1
"22 - Okanagan TSA",6216,0.00472813238770686,0.021505376344086,0.029172366621067,0.0337756735129368,0.037037037037037,0.038961038961039,0.0417711234911792,0.043956043956044,0.0463576158940397,0.048739837398374,0.0503736545647203,0.132951179286824,0.137931034482759,0.142857142857143,0.150296442687747,0.157608305770302,0.166666666666667,0.17558283474314,0.192567771084337,0.214889067094359,0.245614035087719,0.286422054078112,0.369690824213668,1
"23 - 100 Mile House TSA",3425,0.00242130750605327,0.0217986314760508,0.0340909090909091,0.0441111625752663,0.0504934568062258,0.056998191681736,0.0618346766635426,0.0666666666666667,0.0691276207173643,0.0720790020790021,0.0745304437564499,0.319444444444444,0.3284875491481,0.333333333333333,0.345643097643098,0.36,0.373097681637404,0.386434323432343,0.405893111156269,0.428571428571429,0.467905290102389,0.520551669316375,0.606438152011922,0.994865211810013
"24 - Prince George TSA",5916,0.000547045951859956,0.0287845245625132,0.0364583333333333,0.0386359395409591,0.0415430267062315,0.0438108766233766,0.0464084428659604,0.0487833238797504,0.051419332570349,0.0538188367454923,0.0566190388960127,0.268814333814334,0.279094735340277,0.290729271991911,0.303635021097047,0.317895760431147,0.330462259321967,0.3472551342812,0.370938001927401,0.39972027972028,0.440106382978724,0.537521405942289,0.960447530197671,1
"25 - Haida Gwaii TSA",593,0.0130293159609121,0.0372230792965134,0.0486864531295915,0.05454706142289,0.0584917199475795,0.0628378378378378,0.0651325556733828,0.0673552290406223,0.0680172272801614,0.0687948809100604,0.0696748814069189,0.465403842003022,0.482031280384477,0.49230430362589,0.501315468940317,0.518605230386052,0.53678955453149,0.551018463371054,0.584786726267141,0.607142857142857,0.63869689119171,0.67359333152779,0.732747252747253,0.917293233082707
"26 - Quesnel TSA",3355,0.00158982511923688,0.0212553334830451,0.0317533824914433,0.0379382431914077,0.0417279894875164,0.0460123523093448,0.0498265786362724,0.0525314465779383,0.0547713441956418,0.056,0.056873769797437,0.260869565217391,0.272151692043924,0.288589812249206,0.303029570880824,0.320332994465154,0.335458294153496,0.355276376227828,0.390828804347826,0.425376784605834,0.468612581777992,0.526056680161944,0.599894858287257,1
