OBJECTID,EVALUATION_YEAR,EVALUATION_DATE,YEAR_OF_HARVEST,STREAM_NAME,STREAM_CLASS_IN_FIELD,CHANNEL_DEPTH,CHANNEL_WIDTH,CHANNEL_GRADIENT_PCT,bcalbers_easting,bcalbers_northing
1,2006,2006-05-15,2002,S6,S6,,1,1,1511739.129,496149.3749
2,2006,2006-06-06,2004,S3,S3,,2.3,10,1521848.313,513833.9575
3,2006,2006-06-13,2004,S6,S6,,0.5,32,1500733.391,499207.9617
4,2006,2006-06-28,1998,HEADWATERS OF TAYLOR CREEK,S6,,1.2,3,1225919.348,802207.5714
5,2006,2006-07-20,1999,S5 (NO NAME),S5,,5,8,1365418.992,815341.3064
6,2006,2006-07-12,2000,SHIT DOG CREEK,S6,,0.5,4,1213030.091,787123.0615
7,2006,2006-06-20,2001,NONE,S4,,1.3,3,1264420.895,826089.2959
8,2006,2006-07-06,1999,S4,S6,,1.1,3,1265781.238,850377.3565
9,2006,2006-07-19,2002,S4 DEFAULT,S4,,1.3,3,1224152.978,809225.9688
10,2006,2006-07-28,2002,S6,S6,,0.9,5,1260134.121,839905.3856
11,2006,2006-07-07,2001,BLG CAMP CREEK,S3,,3,3,1258330.68,833283.1199
12,2006,2006-07-25,2003,S6,S6,,1.3,2,1287052.5,839690.7188
13,2006,2006-07-26,2003,UNNAMED S6,S6,,0.9,5,1290500.651,836247.3213
14,2006,2006-08-09,1999,SULPHUR CREEK,S2,0,9,5,1787247.634,584213.5523
15,2006,2006-06-15,2004,A,S6,,1.5,1,1289279,490264
16,2006,2006-07-13,1999,SOUTHSIDE TRIBUTARY OF TETE ANGELO CK,S4,,0.8,5,1159631.815,744150.8768
17,2006,2006-06-13,1999,A,S5,,6,25,1293318.852,488070.7205
18,2006,2006-07-17,1999,TETE ANGELS,S2,,5.4,3,1162513.212,744067.7202
19,2006,2006-06-08,2002,#1,S6,,3,40,1289067.576,477537.5972
20,2006,2006-07-13,2000,1,S6,,1,58,1292499.61,483106.192
21,2006,2006-07-19,2000,NORTH TRIBUTARY OF BIDWELL CREEK,S4,,0.4,4,1119817.584,765207.5171
22,2006,2006-07-12,2004,S5,S5,,3.2,35,1345349,510144
23,2006,2006-07-27,2004,S5 OR S6,S6,0,0.5,25,1322596,536456
24,2006,2006-07-25,2002,7,S4,,1.2,35,1292558.379,481699.162
25,2006,2006-07-07,2002,C6,S6,,0.8,25,1268281.279,480515.5752
26,2006,2006-09-06,1998,SOUTH END S6,S6,,3,30,1511238.625,752817.6929
27,2006,2006-09-14,1999,NONE,S6,,2,20,1517368.518,762025.8545
28,2006,2006-07-18,2001,AA,S3,,2.8,10,1520459.728,818528.1887
29,2006,2006-09-27,2000,WESTSIDE 53,S3,,2,15,1682454.966,709492.0512
30,2006,2006-07-25,2001,NONE,S3,,2.1,15,1663422.543,720874.3694
31,2006,2006-06-17,2001,BB,S6,,0.7,15,1551263.459,680610.5286
32,2006,2006-09-25,2001,SE SIDE S6,S4,,1.2,6,1686273.984,707656.3865
33,2006,2006-07-13,2001,CIRQUE CREEK,S2,,5,13,1613299.631,748308.6517
34,2006,2006-07-26,2002,S6 #1,S6,,0.8,27,1661580.513,722098.4684
35,2006,2006-09-15,2005,S4-C,S4,,1,1,1669933.174,721058.3403
36,2006,2006-06-26,1999,S5 STREAM 3,S5,,4,15,1548429.847,683628.4049
37,2006,2006-09-19,2001,4,S6,,1,20,932370.3072,567314.5733
38,2006,2006-09-12,2001,2A,S6,,0.8,30,1001240.05,569541.2365
39,2006,2006-08-25,2001,S3,S2,,8,4,1001459.345,614378.0752
40,2006,2006-07-05,2000,RP1,S6,0,2.1,10,1525289.375,761678.5938
41,2006,2006-07-26,2003,STREAM 3,S6,,1.4,25,1013962.431,573315.1589
42,2006,2006-06-07,2001,STREAM 1 REACH,S4,,1.1,12,970326.3973,589265.8911
43,2006,2006-09-13,2003,STREAM7,S6,,1.7,13,1027240.141,566560.518
44,2006,2006-07-15,2001,STREAM 1,S3,,1.7,5,998442.4295,610559.2723
45,2006,2006-09-18,2004,ARTLISH RIVER,S5,,15,3,938355.2867,568107.3717
46,2006,2006-10-20,2003,BROMLEY CR,S5,,1.6,4,1389528.023,504529.9649
47,2006,2006-08-30,2003,STREAM 3,S6,,1.5,12,959076.4138,600010.8925
48,2006,2006-07-14,2000,S6,S6,,0.4,4,1381965.818,597435.5594
49,2006,2006-11-01,2004,4,S6,,1.7,17,1038704.92,572698.2236
50,2006,2006-09-14,2001,RIP F1,S2,,6.6,1,1229653.806,1530959.455
51,2006,2006-07-19,1998,RIP F1,S6,,0.8,3,1105701.563,1666184.5
52,2006,2006-08-18,1999,RIP F1,S4,,0.8,3,1113018.688,1631778.875
53,2006,2006-07-20,1999,RIPF#1,S4,,1.4,5,1114368.991,1635541.274
54,2006,2006-09-15,1999,RIP F1,S4,,0.9,2,1108277.307,1632326.505
55,2006,2006-07-18,2000,RIP F #1,S4,,1.4,5,1108338.761,1631143.96
56,2006,2006-08-17,2003,RIP F2,S4,,0.7,3,1102214.326,1650485.8
57,2006,2006-08-15,2000,RIP F #1,S3,,6.1,1,1123817.736,1599475.262
58,2006,2006-06-16,2002,RIP F1,S4,,0.8,0,1152726.589,1571487.343
59,2006,2006-06-27,2003,RIP F #1,S3,,1.7,2,1154101.446,1572197.24
60,2006,2006-06-27,1999,UNNAMED,S6,,1,3,1442729.472,767365.0307
61,2006,2006-07-27,1999,UNNAMED,S6,,0.4,17,1461081,481780
62,2006,2006-06-30,2003,S6 NO NAME,S6,0,0.5,25,1463798.57,840400.5814
63,2006,2006-08-31,2001,NONE,S6,,0.8,2,1489275.078,858263.2432
64,2006,2006-10-04,2003,NO NAME,S6,,2.3,50,1377746.604,774506.2666
65,2006,2006-08-29,2002,NEAR GUARD CREEK,S4,,3,3,1429927.055,909465.5276
66,2006,2006-05-24,1998,NO NAME,S4,,1,2,1046657.977,1141303.257
67,2006,2006-09-28,1999,S6-R2-STREAM#1,S6,,0.6,21,1002495.441,1132938.568
68,2006,2006-08-15,2002,R3,S6,,1,10,1015385.543,1200637.626
69,2006,2006-10-10,1998,S6-CUN,S6,,0.7,3,1086644.148,1056751.25
