"man_unit","tenure_type","pct_coast","area","proxy_area"
"TFL1","TFL",0.00661350641166791,67966.1451386958,67700
"TFL14","TFL",0,53782,49099
"TFL18","TFL",0,53407.9610000253,62239
"TFL19","TFL",100,75788.1583060026,61531
"TFL23","TFL",0,155201.530396968,122059
"TFL25","TFL",99.9938726425171,47991.9604320955,19942
"TFL26","TFL",100,7255,8394
"TFL3","TFL",0,27918.8330062628,18913
"TFL30","TFL",0,122923.764999628,130717
"TFL33","TFL",0,7297,5596
"TFL35","TFL",0,31327.877579987,34100
"TFL37","TFL",100,85443.546813827,83387
"TFL38","TFL",100,25678.5000114441,16912
"TFL39","TFL",100,52946.7629949823,54889
"TFL41","TFL",0,32368.8252651431,37148
"TFL43","TFL",100,1462.01995435357,2956
"TFL44","TFL",100,78188.5509345308,86399
"TFL45","TFL",99.9968647956848,23290.3538584113,16203
"TFL46","TFL",100,43764.400510706,43858
"TFL47","TFL",100,90291.2582411766,71545
"TFL48","TFL",0,341647.588559963,327024
"TFL49","TFL",0,76884,90942
"TFL52","TFL",0,164005.548999965,188898
"TFL53","TFL",0,67754.3656217754,81365
"TFL54","TFL",100,47636.0200000107,1519
"TFL55","TFL",0,15998.5232151449,11968
"TFL56","TFL",0,18542.5207368135,17272
"TFL58","TFL",100,12203.7874348966,17509
"TFL59","TFL",0,34805.9591655731,38282
"TFL6","TFL",100,129083.549399927,133813
"TFL60","TFL",100,49786.9770876399,63062
"TFL61","TFL",100,16170.0200238861,13936
"TFL64","TFL",100,91465.1820338368,90649
"TFL8","TFL",0,71804,61864
