"man_unit","tenure_type","pct_coast","area","proxy_area"
"100 Mile House TSA","TSA",0,654866.019730084,679033
"Arrow TSA","TSA",0,155892.263148493,214553
"Arrowsmith TSA","TSA",100,53165.5144182593,63748
"Boundary TSA","TSA",0,235975.590686772,250111
"Bulkley TSA","TSA",0,280402.880679375,288724
"Cascadia TSA","TSA",0,87851.8977813199,98458
"Cassiar TSA","TSA",0,91323.9323872253,1514898
"Cranbrook TSA","TSA",0,350036.259556189,483565
"Dawson Creek TSA","TSA",0,743291.388031036,965468
"Fort Nelson TSA","TSA",0,625402.296108157,3494790
"Fort St. John TSA","TSA",0,1077262.08671371,2033721
"Fraser TSA","TSA",97.1220374107361,284181.830149278,227669
"GBR North TSA","TSA",99.9500215053558,197332.492282689,147577
"GBR South TSA","TSA",99.9771475791931,177256.702109538,146508
"Golden TSA","TSA",0,141309,154699
"Haida Gwaii TSA","TSA",100,86222.0012868754,91522
"Invermere TSA","TSA",0,193629.265340442,232088
"Kalum TSA","TSA",0,84237.295641229,67585
"Kamloops TSA","TSA",0,928280.292922513,918602
"Kispiox TSA","TSA",0,354601.546088263,428938
"Kootenay Lake TSA","TSA",0,248524.423361877,187464
"Lakes TSA","TSA",0,360822.715164056,437733
"Lillooet TSA","TSA",0,162479.86176336,192962
"MacKenzie TSA","TSA",0,1227934.79078397,1497137
"Merritt TSA","TSA",0.583420088514686,591318.855390012,644863
"Morice TSA","TSA",0,631347.841385892,677666
"Nass TSA","TSA",0,164857.640773237,357358
"North Island TSA","TSA",100,169748.176629975,197573
"Okanagan TSA","TSA",0,759450.459780395,924749
"Pacific TSA","TSA",39.4326716661453,98680.990717756,128561
"Prince George TSA","TSA",0,2733796.01946615,3472927
"Quesnel TSA","TSA",0,1083087.07747456,1098591
"Revelstoke TSA","TSA",0,54994,46391
"Robson Valley TSA","TSA",0,110034.263052352,104257
"Soo TSA","TSA",99.9752283096313,70183.7723773834,77347
"Sunshine Coast TSA","TSA",100,214291.11833179,187946
"Williams Lake TSA","TSA",0,1760977.80253201,1929615
