"man_unit","tenure_type","original_thlb_minus_protected_prohibited","original_thlb_minus_protected_prohibited","original_thlb_minus_protected_prohibited_high_res","original_thlb_minus_protected_prohibited_high_res_15","thlb_proxy_protected_prohibited_high_restr_15","thlb_proxy_slope","thlb_proxy_vri","thlb_proxy_no_cutblock_ws"
"100 Mile House TSA","TSA",654866.019730084,605815.298849143,598696.078725316,600321.628725309,701613.55,697555.55,691689.55,2147.55
"Arrow TSA","TSA",155892.263148493,154636.96846515,152652.982732133,155099.332732136,361995.15,280450.15,274090.15,3552.15
"Arrowsmith TSA","TSA",53165.5144182593,52060.1344422251,39605.2445352823,47167.944535277,101382.8,93675.8,82490.8,9121.8
"Boundary TSA","TSA",235975.590686772,234733.874814767,234039.183254976,234480.783254978,290372.15,275870.15,274285.15,675.15
"Bulkley TSA","TSA",280402.880679375,246067.856267794,243520.757253676,244550.357253681,371449.5,367723.5,322611.5,1138.5
"Cascadia TSA","TSA",87851.8977813199,87687.4177801237,86004.5977843031,86386.4977843026,157576.3,126995.3,122224.3,450.3
"Cassiar TSA","TSA",91323.9323872253,91307.248347111,86209.220362328,172339.970362509,2628218,2515350,1982534,204921
"Cranbrook TSA","TSA",350036.259556189,346627.222166551,344025.530926405,346532.480926419,689720,576624,568876,3449
"Dawson Creek TSA","TSA",743291.388031036,730172.454044257,680818.343854197,695667.593854066,1109115.55,1096256.55,1040954.55,20348.55
"Fort Nelson TSA","TSA",625402.296108157,625402.296108157,624524.486325577,628043.486325558,4937953.2,4870797.2,3969150.2,4741.2
"Fort St. John TSA","TSA",1077262.08671371,1073144.08674583,1070113.88678765,1072269.83678761,2920852.15,2899115.15,2317432.15,3003.15
"Fraser TSA","TSA",284181.830149278,274811.70014496,260389.280140087,271046.930140139,465112.05,401047.05,323533.05,14368.05
"GBR North TSA","TSA",197332.492282689,184148.26903522,175746.917928278,183103.967928297,953569.05,801653.05,318596.05,10243.05
"GBR South TSA","TSA",177256.702109538,138079.151876837,134901.824351087,135924.524351087,324491.4,269130.4,207654.4,1041.4
"Golden TSA","TSA",141309,137406,137184,137573.7,352147.7,217198.7,210930.7,815.7
"Haida Gwaii TSA","TSA",86222.0012868754,85788.0471866828,83367.7369821315,84803.9869821294,298072.35,281472.35,144470.35,1516.35
"Invermere TSA","TSA",193629.265340442,188088.083703915,186259.507647481,187837.957647485,435452.05,310078.05,303138.05,5093.05
"Kalum TSA","TSA",84237.295641229,81503.9984816299,61159.329746685,66849.8797466781,122884.75,98011.75,93535.75,12357.75
"Kamloops TSA","TSA",928280.292922513,927524.121485969,885240.73137103,895013.83137088,1135347.4,1034835.4,1023132.4,12302.4
"Kispiox TSA","TSA",354601.546088263,351667.76719828,337418.813165143,341605.313165168,623622.2,572495.2,510388.2,5884.2
"Kootenay Lake TSA","TSA",248524.423361877,218456.263243038,213069.133229204,214890.73322921,393643.9,265313.9,259410.9,2788.9
"Lakes TSA","TSA",360822.715164056,359156.494767209,351656.196725806,354641.946725824,482689.3,481972.3,458747.3,3612.3
"Lillooet TSA","TSA",162479.86176336,162021.556061537,161222.644859062,162437.344859064,404249.95,283692.95,263158.95,2545.95
"MacKenzie TSA","TSA",1227934.79078397,1214251.78797004,1176482.6456106,1190852.0456103,2144959,2024401,1758865,24402
"Merritt TSA","TSA",591318.855390012,574838.855390012,561128.855390012,565004.855390005,719651.4,699657.4,690522.4,5930.4
"Morice TSA","TSA",631347.841385892,581690.702290286,569608.641785142,573508.491785133,790716.45,788652.45,725448.45,5760.45
"Nass TSA","TSA",164857.640773237,147270.278618902,145272.519197941,146418.669197942,507708.35,468713.35,400873.35,3253.35
"North Island TSA","TSA",169748.176629975,167611.438463107,157332.963211715,161973.663211723,356497.3,329575.3,250692.3,4770.3
"Okanagan TSA","TSA",759450.459780395,749131.655548275,725021.408026218,736139.558026105,1241623.85,1103967.85,1069313.85,16399.85
"Pacific TSA","TSA",98680.990717756,96431.1747571813,94289.1769911969,95839.8769911945,295244.3,210728.3,174436.3,1905.3
"Prince George TSA","TSA",2733796.01946615,2524181.00081029,2492285.62071369,2501506.42071389,4027553.25,3960701.25,3697266.25,9956.25
"Quesnel TSA","TSA",1083087.07747456,1045154.14944487,1027116.554433,1030987.30443293,1155768.65,1151373.65,1129536.65,4324.65
"Revelstoke TSA","TSA",54994,51025,50183,50720.8999999996,138255.1,75206.1,70195.1,824.1
"Robson Valley TSA","TSA",110034.263052352,104682.703042772,102899.153040392,103838.153040391,251349.7,178747.7,158970.7,1302.7
"Soo TSA","TSA",70183.7723773834,67451.4131274601,65983.1428167452,67121.7928167438,153161.65,135175.65,106346.65,1336.65
"Sunshine Coast TSA","TSA",214291.11833179,209596.152820587,202161.91588062,205921.065880633,345466.45,273792.45,244895.45,5781.45
"Williams Lake TSA","TSA",1760977.80253201,1706783.40272666,1675492.58959359,1684826.93959335,2485525.45,2445874.45,2239482.45,13107.45
NA,"TSA",35.5162897706032,35.5162897706032,35.5162897706032,35.6662897706032,156.45,152.45,58.45,0.45
